,t,y
0,0.0,0.0
1,0.001,0.025131583680967125
2,0.002,0.05025622255328715
3,0.003,0.0753669741974327
4,0.004,0.1004569009712702
5,0.005,0.12551907239664262
6,0.006,0.15054656754341622
7,0.007,0.1755324774101474
8,0.008,0.2004699073005266
9,0.009000000000000001,0.22535197919475844
10,0.01,0.250171834115038
11,0.011,0.2749226344842871
12,0.012,0.2995975664773139
13,0.013000000000000001,0.32418984236356496
14,0.014,0.34869270284064013
15,0.015,0.3730994193577436
16,0.016,0.3974032964282498
17,0.017,0.4215976739305647
18,0.018000000000000002,0.4456759293964684
19,0.019,0.46963148028612867
20,0.02,0.49345778624898223
21,0.021,0.5171483513696791
22,0.022,0.5406967263983007
23,0.023,0.5640965109640584
24,0.024,0.58734135577169
25,0.025,0.6104249647797776
26,0.026000000000000002,0.6333410973602162
27,0.027,0.6560835704380661
28,0.028,0.6786462606110368
29,0.029,0.7010231062478468
30,0.03,0.7232081095647213
31,0.031,0.7451953386792904
32,0.032,0.7669789296411635
33,0.033,0.7885530884384575
34,0.034,0.8099120929795735
35,0.035,0.8310502950495191
36,0.036000000000000004,0.8519621222400817
37,0.037,0.8726420798531749
38,0.038,0.8930847527766811
39,0.039,0.9132848073321274
40,0.04,0.9332369930935436
41,0.041,0.9529361446768547
42,0.042,0.9723771834991823
43,0.043000000000000003,0.9915551195074223
44,0.044,1.010465052875499
45,0.045,1.0291021756696888
46,0.046,1.047461773481424
47,0.047,1.0655392270270057
48,0.048,1.083330013713654
49,0.049,1.1008297091713448
50,0.05,1.118033988749895
51,0.051000000000000004,1.1349386289807573
52,0.052000000000000005,1.1515395090030223
53,0.053,1.1678326119531115
54,0.054,1.1838140263176784
55,0.055,1.1994799472492348
56,0.056,1.2148266778440426
57,0.057,1.2298506303818153
58,0.058,1.2445483275267952
59,0.059000000000000004,1.2589164034897815
60,0.06,1.2729516051506975
61,0.061,1.2866507931413032
62,0.062,1.3000109428876714
63,0.063,1.313029145612058
64,0.064,1.3257026092938144
65,0.065,1.338028659589006
66,0.066,1.350004740708407
67,0.067,1.361628416253568
68,0.068,1.37289737001066
69,0.069,1.383809406701816
70,0.07,1.3943624526937037
71,0.07100000000000001,1.4045545566630857
72,0.07200000000000001,1.4143838902191264
73,0.073,1.4238487484822355
74,0.074,1.4329475506192375
75,0.075,1.4416788403346845
76,0.076,1.450041286318139
77,0.077,1.458033682647272
78,0.078,1.4656549491466326
79,0.079,1.4729041317019689
80,0.08,1.479780402529987
81,0.081,1.486283060403457
82,0.082,1.4924115308315915
83,0.083,1.4981653661956278
84,0.084,1.503544245839577
85,0.085,1.508547976116103
86,0.08600000000000001,1.513176490387524
87,0.08700000000000001,1.517429848981935
88,0.088,1.521308239104468
89,0.089,1.524811974703733
90,0.09,1.5279414962934745
91,0.091,1.5306973707295268
92,0.092,1.533080290942137
93,0.093,1.53509107562376
94,0.094,1.5367306688724347
95,0.095,1.538000139790878
96,0.096,1.5389006820414304
97,0.097,1.5394336133570259
98,0.098,1.5396003750083536
99,0.099,1.5394025312274064
100,0.1,1.5388417685876268
101,0.101,1.5379198953408642
102,0.10200000000000001,1.536638840711393
103,0.10300000000000001,1.5350006541472356
